frame,baseline_offset_s,kalman_offset_s
0,0.080000,0.060000
1,0.084997,0.061937
2,0.089977,0.063870
3,0.094922,0.065796
4,0.099816,0.067711
5,0.104641,0.069612
6,0.109383,0.071494
7,0.114024,0.073355
8,0.118551,0.075191
9,0.122949,0.077000
10,0.127205,0.078776
11,0.131307,0.080519
12,0.135244,0.082225
13,0.139006,0.083890
14,0.142583,0.085513
15,0.145970,0.087091
16,0.149158,0.088622
17,0.152144,0.090104
18,0.154925,0.091534
19,0.157498,0.092912
20,0.159862,0.094235
21,0.162020,0.095502
22,0.163972,0.096713
23,0.165723,0.097867
24,0.167279,0.098962
25,0.168645,0.099999
26,0.169830,0.100978
27,0.170842,0.101898
28,0.171693,0.102760
29,0.172392,0.103564
30,0.172954,0.104311
31,0.173391,0.105003
32,0.173718,0.105639
33,0.173950,0.106223
34,0.174102,0.106755
35,0.174191,0.107237
36,0.174234,0.107671
37,0.174247,0.108060
38,0.174248,0.108405
39,0.174254,0.108710
40,0.174283,0.108977
41,0.174351,0.109209
42,0.174477,0.109409
43,0.174675,0.109580
44,0.174962,0.109725
45,0.175353,0.109848
46,0.175864,0.109952
47,0.176507,0.110040
48,0.177296,0.110117
49,0.178242,0.110185
50,0.179357,0.110249
51,0.180650,0.110312
52,0.182130,0.110377
53,0.183802,0.110449
54,0.185674,0.110531
55,0.187749,0.110626
56,0.190031,0.110738
57,0.192521,0.110871
58,0.195219,0.111028
59,0.198124,0.111212
60,0.201232,0.111427
61,0.204540,0.111675
62,0.208043,0.111959
63,0.211732,0.112283
64,0.215600,0.112648
65,0.219638,0.113058
66,0.223834,0.113514
67,0.228177,0.114019
68,0.232654,0.114575
69,0.237252,0.115183
70,0.241955,0.115846
71,0.246749,0.116563
72,0.251618,0.117337
73,0.256544,0.118168
74,0.261512,0.119057
75,0.266505,0.120005
76,0.271504,0.121011
77,0.276493,0.122075
78,0.281454,0.123198
79,0.286370,0.124378
80,0.291225,0.125616
81,0.296001,0.126910
82,0.300684,0.128259
83,0.305259,0.129661
84,0.309710,0.131116
85,0.314024,0.132621
86,0.318189,0.134174
87,0.322192,0.135774
88,0.326025,0.137417
89,0.329677,0.139102
90,0.333140,0.140825
91,0.336408,0.142584
92,0.339475,0.144376
93,0.342338,0.146198
94,0.344994,0.148046
95,0.347441,0.149917
96,0.349681,0.151809
97,0.351714,0.153717
98,0.353545,0.155637
99,0.355178,0.157567
100,0.356619,0.159502
101,0.357875,0.161440
102,0.358955,0.163375
103,0.359868,0.165306
104,0.360627,0.167227
105,0.361242,0.169135
106,0.361727,0.171028
107,0.362096,0.172901
108,0.362364,0.174751
109,0.362545,0.176574
110,0.362658,0.178368
111,0.362717,0.180129
112,0.362740,0.181855
113,0.362743,0.183542
114,0.362745,0.185188
115,0.362763,0.186790
116,0.362814,0.188346
117,0.362914,0.189854
118,0.363081,0.191312
119,0.363331,0.192718
120,0.363679,0.194070
121,0.364141,0.195367
122,0.364730,0.196608
123,0.365459,0.197793
124,0.366342,0.198919
125,0.367388,0.199987
126,0.368609,0.200997
127,0.370013,0.201948
128,0.371608,0.202840
129,0.373400,0.203675
130,0.375394,0.204452
131,0.377593,0.205173
132,0.380000,0.205839
133,0.382615,0.206451
134,0.385438,0.207010
135,0.388466,0.207518
136,0.391695,0.207977
137,0.395121,0.208390
138,0.398736,0.208758
139,0.402534,0.209084
140,0.406506,0.209371
141,0.410640,0.209621
142,0.414926,0.209837
143,0.419351,0.210023
144,0.423903,0.210182
145,0.428566,0.210316
146,0.433326,0.210430
147,0.438166,0.210526
148,0.443072,0.210608
149,0.448026,0.210681
150,0.453010,0.210746
151,0.458009,0.210809
152,0.463004,0.210873
153,0.467978,0.210941
154,0.472914,0.211017
155,0.477795,0.211104
156,0.482605,0.211207
157,0.487327,0.211329
158,0.491947,0.211473
159,0.496448,0.211642
160,0.500819,0.211840
161,0.505044,0.212069
162,0.509114,0.212334
163,0.513015,0.212637
164,0.516740,0.212980
165,0.520279,0.213365
166,0.523626,0.213797
167,0.526774,0.214276
168,0.529718,0.214805
169,0.532457,0.215385
170,0.534987,0.216018
171,0.537309,0.216706
172,0.539425,0.217450
173,0.541336,0.218251
174,0.543047,0.219109
175,0.544563,0.220025
176,0.545892,0.221000
177,0.547041,0.222034
178,0.548019,0.223125
179,0.548838,0.224275
